prompt_id,category,is_out_of_scope,needs_human_review,confidence,scope_gate_score,physical_boundary_violation,service_hallucination,gateway_misdirection,abs_error,injection_delta_pct,expected_anchor,latency_ms,requirement
REQ-01,In_Distribution,False,False,HIGH,0.22418604063096956,False,False,False,0.0,20.0,20.0,1627.6490688323975,Khách hàng muốn áp dụng mã giảm giá voucher 20% tại màn hình thanh toán trước khi xác nhận đơn hàng.
REQ-02,In_Distribution,False,False,HIGH,0.1360711611400816,False,False,False,0.0,30.0,30.0,1220.3638553619385,Tích hợp tính năng gợi ý sản phẩm liên quan (You may also like) trên trang chi tiết dựa vào lịch sử xem hàng.
REQ-03,In_Distribution,False,False,HIGH,0.44441809344238914,False,False,False,5.0,20.0,15.0,1439.5320415496826,Theo dõi trạng thái đơn hàng theo thời gian thực với vị trí bưu kiện và tiến độ giao hàng live shipping updates.
REQ-04,In_Distribution,False,False,LOW,0.09452265368310583,False,False,False,0.0,10.0,10.0,1290.7788753509521,Cho phép người dùng để lại đánh giá sao (1-5 sao) và bình luận kèm ảnh sau khi hoàn tất mua sắm.
REQ-05,In_Distribution,False,False,HIGH,0.22418604063096956,False,False,False,5.0,20.0,15.0,1325.211763381958,Thêm sản phẩm nhanh vào giỏ hàng từ danh sách hiển thị catalogue chỉ với một nút bấm Quick Add.
REQ-06,In_Distribution,False,False,HIGH,0.12497976106821185,False,False,False,0.0,10.0,10.0,1203.4380435943604,Xem danh sách và chi tiết các mặt hàng trong giỏ hàng hiện tại kèm tính tổng tiền tạm tính.
REQ-21,Complex_MultiHop,False,False,LOW,0.09452265368310583,False,False,False,0.0,25.0,25.0,1589.9608135223389,"Chương trình Flash Sale đếm ngược nửa đêm: áp dụng đồng thời voucher giảm sốc, kiểm tra giỏ hàng và xử lý thanh toán dồn dập."
REQ-22,Complex_MultiHop,False,False,LOW,0.08647893910362212,False,False,False,0.0,25.0,25.0,1431.0078620910645,"Hệ thống đấu giá trực tiếp: người dùng đặt lệnh đấu giá, trừ tiền đặt cọc và tự động tạo đơn hàng khi thắng cuộc."
REQ-23,Complex_MultiHop,False,False,LOW,0.09452265368310583,False,False,False,0.0,25.0,25.0,1216.7370319366455,Thanh toán trả góp qua thẻ tín dụng ngân hàng với xác thực OTP và gửi thông báo vận chuyển tức thì.
REQ-24,Complex_MultiHop,False,False,HIGH,0.14798041026708358,False,False,False,5.0,25.0,20.0,1289.5219326019287,"Tích điểm thưởng loyalty point khi checkout: kiểm tra hồ sơ user, trừ điểm trong giỏ hàng và phát hành voucher giảm giá đơn sau."
REQ-31,Subtle_ReadOnly,False,False,LOW,0.08647893910362212,False,False,False,0.0,10.0,10.0,1378.0670166015625,Thêm chế độ giao diện tối (Dark Mode toggle) lưu tùy chọn hiển thị vào trình duyệt của người dùng.
REQ-32,Subtle_ReadOnly,False,False,LOW,0.059038311393644634,False,False,False,0.0,10.0,10.0,1541.0151481628418,Hỗ trợ đa ngôn ngữ Anh - Việt trên thanh menu điều hướng và tiêu đề trang.
REQ-33,Subtle_ReadOnly,False,False,LOW,0.08647893910362212,False,False,False,15.0,25.0,10.0,1344.783067703247,Xuất hóa đơn điện tử đơn hàng ra định dạng file PDF tĩnh để khách hàng tải về xem ngoại tuyến.
REQ-34,Subtle_ReadOnly,False,False,LOW,0.059038311393644634,False,False,False,5.0,10.0,15.0,1329.3912410736084,Hiển thị widget câu hỏi thường gặp FAQ tĩnh giải đáp thắc mắc về chính sách vận chuyển.
REQ-41,Adversarial_Stress,False,False,LOW,0.09452265368310583,False,False,False,0.0,25.0,25.0,1435.4708194732666,Tăng đột biến lưu lượng đặt hàng lên 1000% trong vòng 1 giây để kiểm tra giới hạn chịu tải sập hệ thống.
REQ-42,Adversarial_Stress,False,True,NEEDS_HUMAN_REVIEW,0.5877987520293526,False,False,False,15.0,10.0,25.0,1514.8868560791016,Giảm tải hệ thống xuống -80% bằng cách ngắt toàn bộ luồng gọi dịch vụ cơ sở dữ liệu.
REQ-43,Adversarial_Stress,False,False,LOW,0.14798041026708358,False,False,False,0.0,25.0,25.0,1357.8617572784424,Tích hợp microservice ma 'auth-crypto-blockchain' và 'inventory-warehouse-v3' vào quy trình checkout thanh toán.
REQ-44,Adversarial_Stress,True,False,REFUSED,0.7034886091664211,False,False,False,0.0,25.0,25.0,1538.2132530212402,"Bỏ qua cổng front-end, tiêm trực tiếp 50% tải vào dịch vụ payment nội bộ bằng lời gọi gRPC ẩn."
