repeat_id,prompt_id,category,requirement,expected_anchor,expected_gateway,rb_request_type,rb_similarity,llm_request_type,llm_raw_adjustment,llm_raw_core_services,similarity_score,template_delta,affected_services
1,REQ-01,In_Distribution,Khách hàng muốn áp dụng mã giảm giá voucher 20% tại màn hình thanh toán trước khi xác nhận đơn hàng.,20.0,front-end,APPLY_PROMO_CODE,1.0,APPLY_PROMO_CODE,5.0,"['carts', 'orders', 'payment', 'front-end']",1.0,20,"['front-end', 'carts', 'orders', 'payment']"
1,REQ-02,In_Distribution,Tích hợp tính năng gợi ý sản phẩm liên quan (You may also like) trên trang chi tiết dựa vào lịch sử xem hàng.,30.0,front-end,GET_CATALOGUE,0.6667,RECOMMEND_PRODUCTS,0.0,"['front-end', 'catalogue', 'carts', 'user']",0.6667,30,"['front-end', 'user', 'catalogue', 'orders']"
1,REQ-03,In_Distribution,Theo dõi trạng thái đơn hàng theo thời gian thực với vị trí bưu kiện và tiến độ giao hàng live shipping updates.,15.0,front-end,TRACK_PACKAGE,1.6667,TRACK_PACKAGE,5.0,"['front-end', 'shipping', 'orders']",1.6667,15,"['front-end', 'orders', 'shipping']"
1,REQ-04,In_Distribution,Cho phép người dùng để lại đánh giá sao (1-5 sao) và bình luận kèm ảnh sau khi hoàn tất mua sắm.,10.0,front-end,WRITE_PRODUCT_REVIEW,0.3333,WRITE_PRODUCT_REVIEW,5.0,"['front-end', 'catalogue', 'user']",0.3333,10,"['front-end', 'user', 'catalogue']"
1,REQ-05,In_Distribution,Thêm sản phẩm nhanh vào giỏ hàng từ danh sách hiển thị catalogue chỉ với một nút bấm Quick Add.,15.0,front-end,ADD_TO_CART,1.0,ADD_TO_CART,5.0,"['front-end', 'catalogue', 'carts']",1.0,15,"['front-end', 'catalogue', 'carts']"
1,REQ-06,In_Distribution,Xem danh sách và chi tiết các mặt hàng trong giỏ hàng hiện tại kèm tính tổng tiền tạm tính.,10.0,front-end,GET_CATALOGUE,0.6667,VIEW_CART,0.0,"['front-end', 'carts']",0.6667,10,"['front-end', 'carts']"
1,REQ-07,In_Distribution,Duyệt danh mục sản phẩm vớ tất thể thao và lọc theo kích cỡ màu sắc từ danh sách catalogue.,10.0,front-end,GET_CATALOGUE,1.0,GET_CATALOGUE,0.0,"['front-end', 'catalogue']",1.0,10,"['front-end', 'catalogue']"
1,REQ-08,In_Distribution,Khách hàng mới tạo tài khoản thành viên bằng email và mật khẩu tại trang đăng ký.,10.0,front-end,REGISTER,0.6667,REGISTER,0.0,"['front-end', 'user']",0.6667,10,"['front-end', 'user']"
1,REQ-09,In_Distribution,Đăng nhập người dùng bằng username và xác thực phiên làm việc an toàn.,10.0,front-end,LOGIN,0.3333,LOGIN,0.0,"['front-end', 'user']",0.3333,10,"['front-end', 'user']"
1,REQ-10,In_Distribution,"Quy trình đặt hàng trọn gói bao gồm trừ tồn kho, tính phí vận chuyển và thanh toán thẻ tín dụng.",25.0,front-end,PLACE_ORDER,0.6667,PLACE_ORDER,0.0,"['front-end', 'orders', 'carts', 'catalogue', 'payment', 'shipping', 'user']",0.6667,25,"['front-end', 'user', 'catalogue', 'carts', 'orders', 'payment', 'shipping']"
